text,label,label_name,source
"Section 5 of the Act does not operate on the basis of proportionality. Even if an enterprise acquires/has material inﬂuence (which is the starting threshold of control) over another entity, the whole of the ﬁnancials of the target enterprise would be taken into consideration for the purpose of Section 5 of the Act. Thus, if control is established, the complete ﬁnancials of the fund/target would be attributed to the control holder. (For reference, please see order dated 17th December 2021 issued under Section 43A of the Act against Invest Corp India available at https://www.cci.gov.in/combination/ orders-section43a_44)",3,Corporate / Company Law,milpac_cci
The statutory auditor's report highlighted significant deficiencies in the internal financial controls.,3,Corporate / Company Law,original
Cumulative voting allows minority shareholders a better chance of electing a representative to the board.,3,Corporate / Company Law,original
The 'Trips Agreement' sets minimum standards for intellectual property regulation globally.,7,Intellectual Property Law,original
"If the prosecution fails to demonstrate by cogent coherent and persuasive evidence to prove such fact, the person accused of either of the above referred offences cannot be held guilty by taking refuge only of the presumption to cover up the shortfall in proof. BRIEF FACTSAND PROCEDURAL HISTORY: The information was lodged by Appellant baijnath, the elder brother of the Appellant No. 2, Shivraj, the father-in-law of the deceased. The information disclosed that on the day of the incident, the family had dinner together and after watching television, retired to the respective rooms for the night. The deceased was married to Rakesh, son of Appellant No. 2. According to the informant, in the next morning she was found dead, hanging from the fan by a ligature.On this information Merg was registered with the Police Station and on the completion of the investigation charge-sheet was laid against the Appellants (in-laws of the deceased) together with Rakesh, husband of the deceased and Prem Bai, wife of the Appellant No. 1. According to the prosecution, the investigation revealed that the husband of the deceased along with the Appellants had been demanding dowry and in pursuit thereof had subjected the deceased to harassment and torture in the proximate past of the incident.At the trial, the learned Additional Sessions Judge concerned framed charges against the accused persons Under Sections 304B and 498A of the Indian Penal Code (Code), which were denied. Subsequently, Rakesh committed suicide on 09.06.1998 by consuming poison and therefore he was deleted from the array of the persons indicted.The Trial Court acquitted the accused persons of the charges holding that in the attendant materials on record, the statutory presumption as envisaged in Section 113B of the Evidence Act, 1892 (“Act, 1892”) was not available for invocation.The High Court however accepted the evidence adduced by the prosecution qua the charge of dowry demand, harassment and cruelty in connection therewith and applied the deeming prescription/statutory presumption contained in Section 304B of the Code and Section 113B of Act, 1892.The Appellants, being aggrieved by the conversion of their acquittal into conviction by the High Court. Under Sections 498A and 304B of the Code filed an appeal. ISSUE BEFORE THE COURT: Whether the High Court was correct in converting the acquittal of the Appellants into conviction under Sections 304B and 498A of Indian Penal Code?Whether the prosecution succeeded in proving the components of the two offences",1,Criminal Law,ilc
"The testing of the thresholds prescribed under Section 5 of the Act is not dependent upon the consolidation of ﬁnancial statements under the accounting standards. This position is not limited to acquisition by funds, but applies to any acquisition, merger and amalgamation. (For reference, please see order dated 17th December 2021 issued under Section 43A of the Act against Invest Corp India available at https://www.cci.gov.in/combination/ orders-section43a_44)",3,Corporate / Company Law,milpac_cci
"The defendant challenged the validity of the plaintiff's registered design for a furniture piece, pointing out that an identical design had been published in an Italian interior design catalog two years prior to the Indian registration date. The High Court cancelled the design registration under Section 19 of the Designs Act, holding that prior publication in any country destroys the novelty and originality required for design protection in India.",7,Intellectual Property Law,synthetic
Secondary meaning must be proved for a descriptive term to be eligible for trademark protection.,7,Intellectual Property Law,original
"On registration of design, the proprietor has ‘copyright’ for the period of registration. This is different from copyright as covered in the Copyrights Act, 1957. Under the Designs Act, the term ‘copyright’ implies the exclusive right to use the design that is registered as applied to an article.",7,Intellectual Property Law,milpac_ip
A 'Check-Off' system allows the employer to deduct union dues directly from the payroll.,6,Labour & Employment Law,original
"It is the legal duty of the prosecution to prove a criminal case beyond all reasonable doubt, meaning the jury must be convinced that there is no other possible explanation from the evidence presented at the trial. This was addressed in a judgement passed by a bench of Orissa High Court consisting of Justice S.K. Mishra and Justice Pramath Patnaik in the case of Ramachandra Sahu v State of Orissa [CRA No. 216 of 1998] on 11th June 2021. The prosecution alleged that the when the victim, Srimati and her sister, Hema were walking down a lane on 10th June 1997, someone murdered Srimati by slashing her neck with a sword and Hema seeing this fainted and collapsed. The FIR recorded that their other sister, Laxmi was at a mill when she got the news of her sister’s murder from another family member. The main suspect was the petitioner, Ramachandra Sahu who had a long dispute running with the victim’s family. A bloody sword was recovered from the petitioner although it was never mentioned if it belonged to the same blood group as the victim or even if it was the blood of a human being. The District and Sessions Judge, Berhampur convicted the petitioner for murder under Section 302 of the Indian Penal Code and sentenced him to undergo life imprisonment. The petitioner appealed against this judgement on grounds that the prosecution’s story was self-contradictory and relied heavily on circumstantial evidence. It was noted that the victim’s sister, Hema first stated that she never saw the petitioner murdering her sister as she was walking ahead and turned around to see her sister’s neck slashed and a man fleeing the scene, but after a sword was recovered from the petitioner, the sister’s statement was changed. Also the other sister Laxmi first claimed to be at a mill when she was told about her sister’s death by a relative, but later changed her statement that she was having a bath when she was alerted about the same. The court stated that the prosecution had done a very poor job of building the case and that much of the evidence was circumstantial and witness statements contradictory. It was stated that the burden of proof is on the prosecution and in this case they have failed to do so.",1,Criminal Law,ilc
